College_Name,Location,Fees,College_URL
"Symbiosis Institute of Health Sciences - [SIHS], Pune","Pune, Maharashtra","₹ 2,20,000",https://collegedunia.com/college/11096-symbiosis-institute-of-health-sciences-sihs-pune
"Hamdard Institute of Medical Sciences and Research - [HIMSR], New Delhi","New Delhi, Delhi NCR","₹ 2,11,500",https://collegedunia.com/college/10509-hamdard-institute-of-medical-sciences-and-research-himsr-new-delhi
"Arya Nursing College, Guwahati","Guwahati, Assam","₹ 1,52,000",https://collegedunia.com/college/62434-arya-nursing-college-guwahati
"National Institute of Management and Technology - [NIMT], Greater Noida","Greater Noida, Uttar Pradesh","₹ 1,45,180",https://collegedunia.com/college/60231-national-institute-of-management-and-technology-nimt-greater-noida
"Graphic Era Hill University Bhimtal Campus - [GEHU], Bhimtal","Bhimtal, Uttarakhand","₹ 1,55,000",https://collegedunia.com/university/57212-graphic-era-hill-university-bhimtal-campus-gehu-bhimtal
"PDM University, Bahadurgarh, Bahadurgarh","Bahadurgarh, Haryana","₹ 1,54,200",https://collegedunia.com/university/58545-pdm-university-bahadurgarh-bahadurgarh
"Sharda University, School of Nursing Sciences and Research - [SNSR], Greater Noida","Greater Noida, Uttar Pradesh","₹ 1,50,380",https://collegedunia.com/college/58971-sharda-university-school-of-nursing-sciences-and-research-snsr-greater-noida
"Vydehi Institute of Medical Sciences and Research Centre - [VIMS], Bangalore","Bangalore, Karnataka","₹ 2,00,000",https://collegedunia.com/college/11178-vydehi-institute-of-medical-sciences-and-research-centre-vims-bangalore
"College of Nursing, Ludhiana","Ludhiana, Punjab","₹ 1,50,000",https://collegedunia.com/college/11464-college-of-nursing-ludhiana
"Arka Jain University, Jamshedpur","Jamshedpur, Jharkhand","₹ 1,50,000",https://collegedunia.com/university/15904-arka-jain-university-jamshedpur
"Gopal Narayan Singh University - [GNSU], Sasaram","Sasaram, Bihar","₹ 1,50,000",https://collegedunia.com/university/59917-gopal-narayan-singh-university-gnsu-sasaram
"Anna Optometry College  [Anna College], Madurai","Madurai, Tamil Nadu","₹ 1,50,000",https://collegedunia.com/college/62343-anna-optometry-college-anna-college-madurai
"Anna Science and Management College - [Anna College], Virudhunagar","Virudhunagar, Tamil Nadu","₹ 1,50,000",https://collegedunia.com/college/63990-anna-science-and-management-college-anna-college-virudhunagar
"Sebabrata Institute of Nursing, Howrah","Howrah, West Bengal","₹ 1,50,000",https://collegedunia.com/college/64358-sebabrata-institute-of-nursing-howrah
"Arka Jain University - Powered by Emversity, Jamshedpur","Jamshedpur, Jharkhand","₹ 1,50,000",https://collegedunia.com/college/64959-arka-jain-university-powered-by-emversity-jamshedpur
"Ideal Institute of Nursing, Nadia","Nadia, West Bengal","₹ 1,65,750",https://collegedunia.com/college/64971-ideal-institute-of-nursing-nadia
"Aaliyah Group Of Institutions - [AGI], Mangalore","Mangalore, Karnataka","₹ 1,50,000",https://collegedunia.com/college/65108-aaliyah-group-of-institutions-agi-mangalore
"Moodlakatte College of Nursing, Kundapura","Kundapura, Karnataka","₹ 1,50,000",https://collegedunia.com/college/65235-moodlakatte-college-of-nursing-kundapura
"Teerthanker Mahaveer University - [TMU], Moradabad","Moradabad, Uttar Pradesh","₹ 1,49,400",https://collegedunia.com/university/25977-teerthanker-mahaveer-university-tmu-moradabad
"Haridwar University, Roorkee","Roorkee, Uttarakhand","₹ 1,53,000",https://collegedunia.com/university/55109-haridwar-university-roorkee
"Manikaka Topawala Institute of Nursing - [MTIN], Anand","Anand, Gujarat","₹ 1,48,000",https://collegedunia.com/college/11441-manikaka-topawala-institute-of-nursing-mtin-anand
"Sister Florence College of Nursing, Kolkata","Kolkata, West Bengal","₹ 1,70,000",https://collegedunia.com/college/62436-sister-florence-college-of-nursing-kolkata
"Amity University, Gurgaon","Gurgaon, Haryana","₹ 1,46,000",https://collegedunia.com/university/25516-amity-university-gurgaon
"Santosh Institute of Allied Health Sciences, Ghaziabad","Ghaziabad, Uttar Pradesh","₹ 1,45,925",https://collegedunia.com/college/61105-santosh-institute-of-allied-health-sciences-ghaziabad
"Santosh University, Ghaziabad","Ghaziabad, Uttar Pradesh","₹ 5,82,900",https://collegedunia.com/university/25970-santosh-university-ghaziabad
"Dr DY Patil Vidyapeeth - [DPU], Pune","Pune, Maharashtra","₹ 1,45,000",https://collegedunia.com/university/25698-dr-dy-patil-vidyapeeth-dpu-pune
"DRIEMS University, Cuttack","Cuttack, Odisha","₹ 1,45,000",https://collegedunia.com/university/28119-driems-university-cuttack
"IQ City Medical College, Durgapur","Durgapur, West Bengal","₹ 3,25,000",https://collegedunia.com/college/60635-iq-city-medical-college-durgapur
"The Neotia University - [TNU], Kolkata","Kolkata, West Bengal","₹ 1,65,000",https://collegedunia.com/university/57421-the-neotia-university-tnu-kolkata
"United University, Allahabad","Allahabad, Uttar Pradesh","₹ 1,40,000",https://collegedunia.com/university/60765-united-university-allahabad
"Dayananda Sagar University - [DSU], Bangalore","Bangalore, Karnataka","₹ 1,42,000",https://collegedunia.com/university/57903-dayananda-sagar-university-dsu-bangalore
"Sikkim Manipal University - [SMU], East Sikkim","East Sikkim, Sikkim","₹ 1,46,000",https://collegedunia.com/university/25857-sikkim-manipal-university-smu-east-sikkim
"Chandigarh University - [CU], Chandigarh","Chandigarh, Chandigarh","₹ 1,41,000",https://collegedunia.com/university/25777-chandigarh-university-cu-chandigarh
"Swami Vivekanand Subharti University - [SVSU], Meerut","Meerut, Uttar Pradesh","₹ 66,500",https://collegedunia.com/university/25976-swami-vivekanand-subharti-university-svsu-meerut
"Goutham College, Bangalore","Bangalore, Karnataka","₹ 1,40,000",https://collegedunia.com/college/1431-goutham-college-bangalore
"Samaritan College of Nursing Pazhanganad, Ernakulam","Ernakulam, Kerala","₹ 1,40,000",https://collegedunia.com/college/12291-samaritan-college-of-nursing-pazhanganad-ernakulam
"Durgapur Society of Management Science - [DSMS], Durgapur","Durgapur, West Bengal","₹ 5,60,000",https://collegedunia.com/college/17566-durgapur-society-of-management-science-dsms-durgapur
"Chitkara University - [CU], Patiala","Patiala, Punjab","₹ 1,40,000",https://collegedunia.com/university/25778-chitkara-university-cu-patiala
"Integral University, Lucknow","Lucknow, Uttar Pradesh","₹ 1,40,000",https://collegedunia.com/university/25950-integral-university-lucknow
"Santhi College of Nursing, Kozhikode","Kozhikode, Kerala","₹ 1,40,000",https://collegedunia.com/college/55319-santhi-college-of-nursing-kozhikode
"DSMS Institute of Nursing, Durgapur","Durgapur, West Bengal","₹ 1,40,000",https://collegedunia.com/college/64370-dsms-institute-of-nursing-durgapur
"Kasturba Medical College - [KMC], Mangalore","Mangalore, Karnataka","₹ 5,56,000",https://collegedunia.com/college/10631-kasturba-medical-college-kmc-mangalore
"University of Science and Technology - [USTM], Ri-Bhoi","Ri-Bhoi, Meghalaya","₹ 1,95,000",https://collegedunia.com/university/25745-university-of-science-and-technology-ustm-ribhoi
"Bangalore Group of Institutions - [BGI], Bangalore","Bangalore, Karnataka","₹ 2,51,000",https://collegedunia.com/college/60178-bangalore-group-of-institutions-bgi-bangalore
"Jamia Hamdard University, New Delhi","New Delhi, Delhi NCR","₹ 1,69,000",https://collegedunia.com/university/25459-jamia-hamdard-university-new-delhi
"Teerthanker Mahaveer University, College Of Nursing - [TMU CON], Moradabad","Moradabad, Uttar Pradesh","₹ 1,38,000",https://collegedunia.com/college/58995-teerthanker-mahaveer-university-college-of-nursing-tmu-con-moradabad
"Mother Teresa Institute of Nursing - [MTIN], Kolkata","Kolkata, West Bengal","₹ 2,27,500",https://collegedunia.com/college/63117-mother-teresa-institute-of-nursing-mtin-kolkata
"Harsha Institutions, Bangalore","Bangalore, Karnataka","₹ 2,00,000",https://collegedunia.com/college/63239-harsha-institutions-bangalore
"Christian Medical College - [CMC], Ludhiana","Ludhiana, Punjab","₹ 1,47,800",https://collegedunia.com/college/7573-christian-medical-college-cmc-ludhiana
"Ganpat University - [GUNI], Mehsana","Mehsana, Gujarat","₹ 1,35,000",https://collegedunia.com/university/25486-ganpat-university-guni-mehsana
"Jain University - [JU], Bangalore","Bangalore, Karnataka","₹ 1,80,000",https://collegedunia.com/university/25606-jain-university-ju-bangalore
"K J Somaiya College of Nursing, Mumbai","Mumbai, Maharashtra","₹ 1,35,000",https://collegedunia.com/college/63951-k-j-somaiya-college-of-nursing-mumbai
